Rank,Name,Position,Team,Weekly Salary,year
160.0,Paul Dummett,Defender,NUFC,20000,2014
160.0,Massadio Haidara,Defender,NUFC,20000,2014
160.0,Asmir Begovic,Goalkeeper,SCFC,20000,2014
174.0,Ryo Miyaichi,Forward,AFC,15000,2014
174.0,Ciaran Clark,Defender,AVFC,15000,2014
174.0,Matthew Lowton,Defender,AVFC,15000,2014
174.0,David Stockdale,Goalkeeper,BHA,15000,2014
174.0,Jonny Williams,Midfielder,CP,15000,2014
174.0,Jamaal Lascelles,Defender,NUFC,15000,2014
174.0,Lewis Grabban,Forward,NCFC,15000,2014
174.0,Kyle Bartley,Defender,SCAFC,15000,2014
174.0,Juan Carlos Paredes,Defender,WAT,15000,2014
174.0,Doneil Henry,Defender,WHUFC,15000,2014
184.0,Charlie Daniels,Defender,BOU,13000,2014
185.0,Graham Burke,Forward,AVFC,12940,2014
186.0,Samir Carruthers,Midfielder,AVFC,12330,2014
187.0,Mark Schwarzer,Goalkeeper,CFC,12025,2014
188.0,Adam Smith,Defender,BOU,12000,2014
188.0,Ben Hamer,Goalkeeper,LC,12000,2014
188.0,Curtis Good,Defender,NUFC,12000,2014
188.0,Sam Gallagher,Forward,SFC,12000,2014
192.0,Artur Boruc,Goalkeeper,BOU,10000,2014
192.0,Callum Wilson,Forward,BOU,10000,2014
192.0,Nathan Baker,Defender,AVFC,10000,2014
192.0,Nicklas Helenius,Forward,AVFC,10000,2014
192.0,Matt Targett,Defender,SFC,10000,2014
197.0,Chris O'Grady,Forward,BHA,8000,2014
197.0,Jamal Blackman,Goalkeeper,CFC,8000,2014
197.0,Nahki Wells,Forward,HUD,8000,2014
200.0,Jed Steer,Goalkeeper,AVFC,7284,2014
201.0,Junior Stanislas,Midfielder,BOU,7000,2014
201.0,Rohan Ince,Midfielder,BHA,7000,2014
203.0,Enda Stevens,Defender,AVFC,6609,2014
204.0,Steve Cook,Defender,BOU,6000,2014
204.0,Gedion Zelalem,Midfielder,AFC,6000,2014
204.0,Cristian Cuevas,Defender,CFC,6000,2014
207.0,Harry Arter,Midfielder,BOU,5000,2014
207.0,Chris Herd,Midfielder,AVFC,5000,2014
207.0,Nathaniel Chalobah,Midfielder,CFC,5000,2014
207.0,Jordon Ibe,Midfielder,LFC,5000,2014
207.0,Josh Harrop,Midfielder,MUFC,5000,2014
207.0,Josh Sheehan,Midfielder,SCAFC,5000,2014
213.0,Krystian Bielik,Defender,AFC,4000,2014
213.0,Christian Walton,Goalkeeper,BHA,4000,2014
213.0,Harry Bunn,Forward,HUD,4000,2014
213.0,Harry Wilson,Midfielder,LFC,4000,2014
213.0,Kenji Gorre,Forward,SCAFC,4000,2014
218.0,Sullay Kaikai,Midfielder,CP,3000,2014
218.0,Tom Lawrence,Forward,LC,3000,2014
