No,Name,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,year
900,Adama Traore,Wolverhampton Wanderers,37,2596,4,4,9,3.71,3.71,7.55,15.27,5.66,0.13,0.13,0.26,0.39,0.39,0.53,0.2,2019
966,Alex Oxlade Chamberlain,Liverpool,30,1511,4,4,1,2.5,2.5,0.94,5.69,2.65,0.15,0.15,0.06,0.21,0.21,0.34,0.16,2019
1389,Jorginho,Chelsea,31,2391,4,1,2,3.1,0.81,2.92,15.92,14.99,0.12,0.03,0.11,0.23,0.14,0.6,0.56,2019
1621,Marcos Alonso,Chelsea,18,1436,4,4,2,2.55,2.55,2.99,10.61,7.11,0.16,0.16,0.19,0.35,0.35,0.66,0.45,2019
1726,Abdoulaye Doucoure,Watford,37,3189,4,4,2,5.28,5.28,4.08,13.54,7.19,0.15,0.15,0.12,0.26,0.26,0.38,0.2,2019
1791,Trent Alexander-Arnold,Liverpool,38,3183,4,4,13,3.08,3.08,11.17,20.64,13.6,0.09,0.09,0.32,0.4,0.4,0.58,0.38,2019
3293,Lucas Moura,Tottenham,35,2261,4,4,4,5.58,5.58,3.28,10.09,3.18,0.22,0.22,0.13,0.35,0.35,0.4,0.13,2019
5612,Anwar El Ghazi,Aston Villa,34,2082,4,3,4,6.38,5.62,2.88,8.02,2.21,0.28,0.24,0.12,0.4,0.37,0.35,0.1,2019
6852,Matt Doherty,Wolverhampton Wanderers,36,2842,4,4,3,6.48,6.48,2.13,14.17,7.66,0.21,0.21,0.07,0.27,0.27,0.45,0.24,2019
7236,Leander Dendoncker,Wolverhampton Wanderers,38,2793,4,4,0,2.64,2.64,0.72,9.56,8.4,0.09,0.09,0.02,0.11,0.11,0.31,0.27,2019
7420,Miguel Almiron,Newcastle United,36,3063,4,4,2,7.76,7.76,2.9,13.88,3.99,0.23,0.23,0.09,0.31,0.31,0.41,0.12,2019
7700,Che Adams,Southampton,30,1096,4,4,2,5.87,5.87,1.99,7.28,1.21,0.48,0.48,0.16,0.64,0.64,0.6,0.1,2019
101,Allan Saint-Maximin,Newcastle United,26,1896,3,3,4,2.94,2.94,4.33,9.66,4.27,0.14,0.14,0.21,0.35,0.35,0.46,0.2,2019
462,Dan Gosling,Bournemouth,24,1255,3,3,1,2.93,2.93,1.37,3.79,1.44,0.21,0.21,0.1,0.31,0.31,0.27,0.1,2019
463,Junior Stanislas,Bournemouth,15,706,3,2,0,1.87,1.11,0.92,2.25,1.58,0.24,0.14,0.12,0.36,0.26,0.29,0.2,2019
534,Aaron Cresswell,West Ham,31,2739,3,3,0,1.03,1.03,3.01,6.83,4.89,0.03,0.03,0.1,0.13,0.13,0.22,0.16,2019
730,Patrick van Aanholt,Crystal Palace,29,2517,3,2,2,2.04,1.28,3.55,5.9,4.39,0.07,0.05,0.13,0.2,0.17,0.21,0.16,2019
751,N'Golo Kante,Chelsea,22,1733,3,3,0,1.54,1.54,1.52,7.21,4.84,0.08,0.08,0.08,0.16,0.16,0.37,0.25,2019
757,Jeffrey Schlupp,Crystal Palace,17,1035,3,3,1,2.18,2.18,0.95,3.24,1.13,0.19,0.19,0.08,0.27,0.27,0.28,0.1,2019
782,Ben Chilwell,Leicester,27,2382,3,3,3,1.1,1.1,3.54,10.09,8.04,0.04,0.04,0.13,0.18,0.18,0.38,0.3,2019
1679,Dominic Solanke,Bournemouth,32,1617,3,3,1,4.44,4.44,1.05,6.86,2.42,0.25,0.25,0.06,0.31,0.31,0.38,0.13,2019
1723,Roberto Pereyra,Watford,28,1656,3,2,0,3.15,2.39,1.36,4.78,1.63,0.17,0.13,0.07,0.24,0.2,0.26,0.09,2019
2496,Rodri,Manchester City,35,2488,3,3,2,0.74,0.74,2.91,22.7,21.22,0.03,0.03,0.11,0.13,0.13,0.82,0.77,2019
3203,Issa Diop,West Ham,32,2767,3,3,1,1.8,1.8,1.83,3.84,3.62,0.06,0.06,0.06,0.12,0.12,0.13,0.12,2019
3303,Ricardo Pereira,Leicester,28,2520,3,3,2,1.27,1.27,4.02,11.06,8.12,0.05,0.05,0.14,0.19,0.19,0.39,0.29,2019
5549,Luka Milivojevic,Crystal Palace,31,2519,3,1,1,2.5,0.97,1.74,4.5,3.99,0.09,0.03,0.06,0.15,0.1,0.16,0.14,2019
5560,Scott McTominay,Manchester United,27,1771,3,3,1,2.02,2.02,1.43,5.72,4.45,0.1,0.1,0.07,0.18,0.18,0.29,0.23,2019
5595,Daniel James,Manchester United,33,2291,3,3,6,3.6,3.6,4.26,11.16,5.4,0.14,0.14,0.17,0.31,0.31,0.44,0.21,2019
5956,Youri Tielemans,Leicester,37,2849,3,3,6,2.79,2.79,5.19,17.1,11.13,0.09,0.09,0.16,0.25,0.25,0.54,0.35,2019
6048,Lewis Dunk,Brighton,36,3233,3,3,3,3.72,3.72,1.26,8.55,8.35,0.1,0.1,0.04,0.14,0.14,0.24,0.23,2019
6122,Douglas Luiz,Aston Villa,36,2602,3,3,2,2.28,2.28,2.0,5.57,3.4,0.08,0.08,0.07,0.15,0.15,0.19,0.12,2019
6382,Pedro Neto,Wolverhampton Wanderers,29,911,3,3,3,1.89,1.89,2.63,7.69,4.65,0.19,0.19,0.26,0.45,0.45,0.76,0.46,2019
6504,Michael Obafemi,Southampton,21,654,3,3,2,2.15,2.15,1.23,2.88,0.52,0.3,0.3,0.17,0.47,0.47,0.4,0.07,2019
7063,Bernard,Everton,27,1267,3,3,2,1.7,1.7,2.3,6.57,3.05,0.12,0.12,0.16,0.28,0.28,0.47,0.22,2019
7699,Adam Webster,Brighton,31,2668,3,3,1,1.58,1.58,1.09,6.39,6.15,0.05,0.05,0.04,0.09,0.09,0.22,0.21,2019
7712,Billy Sharp,Sheffield United,25,1045,3,3,2,4.14,4.14,3.01,5.81,1.04,0.36,0.36,0.26,0.62,0.62,0.5,0.09,2019
7721,Conor Hourihane,Aston Villa,27,1549,3,3,5,1.63,1.63,5.73,6.01,3.16,0.09,0.09,0.33,0.43,0.43,0.35,0.18,2019
7723,John McGinn,Aston Villa,28,2323,3,3,3,3.98,3.98,2.62,9.97,5.29,0.15,0.15,0.1,0.26,0.26,0.39,0.2,2019
7752,Gabriel Martinelli,Arsenal,14,643,3,3,0,2.24,2.24,0.11,3.0,0.64,0.31,0.31,0.02,0.33,0.33,0.42,0.09,2019
7991,Aaron Connolly,Brighton,24,1279,3,3,1,4.55,4.55,0.56,4.36,0.35,0.32,0.32,0.04,0.36,0.36,0.31,0.02,2019
8288,Tomas Soucek,West Ham,13,1042,3,3,0,2.42,2.42,0.34,3.87,2.19,0.21,0.21,0.03,0.24,0.24,0.33,0.19,2019
8300,Steven Bergwijn,Tottenham,14,698,3,3,1,1.18,1.18,1.13,2.96,1.4,0.15,0.15,0.15,0.3,0.3,0.38,0.18,2019
76,Fabian Schar,Newcastle United,22,1675,2,2,0,1.06,1.06,0.1,2.58,1.87,0.06,0.06,0.01,0.06,0.06,0.14,0.1,2019
87,Joelinton,Newcastle United,38,2722,2,2,2,6.03,6.03,3.1,12.04,4.82,0.2,0.2,0.1,0.3,0.3,0.4,0.16,2019
239,Pascal Gross,Brighton,29,1812,2,2,4,1.46,1.46,5.95,8.31,6.02,0.07,0.07,0.3,0.37,0.37,0.41,0.3,2019
314,Ilkay Gundogan,Manchester City,31,2006,2,1,1,4.35,2.82,2.92,19.26,15.25,0.2,0.13,0.13,0.33,0.26,0.86,0.68,2019
371,Sokratis Papastathopoulos,Arsenal,19,1698,2,2,0,1.45,1.45,0.75,4.34,4.34,0.08,0.08,0.04,0.12,0.12,0.23,0.23,2019
461,Matt Ritchie,Newcastle United,18,1321,2,2,1,1.51,0.75,2.35,2.74,1.42,0.1,0.05,0.16,0.26,0.21,0.19,0.1,2019
489,James Milner,Liverpool,22,895,2,0,2,2.16,0.64,0.93,6.65,5.74,0.22,0.06,0.09,0.31,0.16,0.67,0.58,2019
501,Danny Welbeck,Watford,18,791,2,2,0,3.39,3.39,0.24,3.56,0.28,0.39,0.39,0.03,0.41,0.41,0.4,0.03,2019
503,Theo Walcott,Everton,25,1310,2,2,3,3.48,3.48,3.97,8.4,2.61,0.24,0.24,0.27,0.51,0.51,0.58,0.18,2019
528,Angelo Ogbonna,West Ham,31,2790,2,2,0,1.3,1.3,0.07,2.95,2.82,0.04,0.04,0.0,0.04,0.04,0.1,0.09,2019
579,Nathan Ake,Bournemouth,29,2503,2,2,2,3.05,3.05,1.96,3.55,2.96,0.11,0.11,0.07,0.18,0.18,0.13,0.11,2019
606,Christian Benteke,Crystal Palace,24,1249,2,2,1,4.63,4.63,2.46,6.47,0.72,0.33,0.33,0.18,0.51,0.51,0.47,0.05,2019
611,Nicolas Otamendi,Manchester City,24,1705,2,2,0,2.05,2.05,0.18,10.64,10.6,0.11,0.11,0.01,0.12,0.12,0.56,0.56,2019
639,Toby Alderweireld,Tottenham,33,2959,2,2,2,0.46,0.46,1.23,8.16,7.06,0.01,0.01,0.04,0.05,0.05,0.25,0.21,2019
644,Erik Lamela,Tottenham,25,1190,2,2,1,2.31,2.31,1.01,6.64,4.44,0.17,0.17,0.08,0.25,0.25,0.5,0.34,2019
646,Christian Eriksen,Tottenham,20,1075,2,2,2,1.76,1.76,2.26,4.08,1.78,0.15,0.15,0.19,0.34,0.34,0.34,0.15,2019
669,Ashley Westwood,Burnley,35,3150,2,2,6,1.18,1.18,7.08,9.23,6.14,0.03,0.03,0.2,0.24,0.24,0.26,0.18,2019
681,Cesar Azpilicueta,Chelsea,36,3234,2,2,6,2.59,2.59,6.03,18.33,14.64,0.07,0.07,0.17,0.24,0.24,0.51,0.41,2019
708,Federico Fernandez,Newcastle United,32,2610,2,2,2,1.78,1.78,1.47,4.35,3.8,0.06,0.06,0.05,0.11,0.11,0.15,0.13,2019
714,Gylfi Sigurdsson,Everton,35,2580,2,1,3,4.02,3.26,4.01,11.05,7.52,0.14,0.11,0.14,0.28,0.25,0.39,0.26,2019
762,Demarai Gray,Leicester,21,580,2,2,3,2.77,2.01,2.23,4.82,1.81,0.43,0.31,0.35,0.78,0.66,0.75,0.28,2019
772,Moussa Sissoko,Tottenham,29,2466,2,2,1,2.54,2.54,1.7,8.97,5.88,0.09,0.09,0.06,0.15,0.15,0.33,0.21,2019
804,Craig Dawson,Watford,29,2356,2,2,0,2.24,2.24,0.34,4.2,3.99,0.09,0.09,0.01,0.1,0.1,0.16,0.15,2019
839,Shane Long,Southampton,26,1403,2,2,2,4.53,4.53,2.58,5.5,0.84,0.29,0.29,0.17,0.46,0.46,0.35,0.05,2019
875,Ciaran Clark,Newcastle United,14,1192,2,2,0,0.75,0.75,0.05,2.05,2.01,0.06,0.06,0.0,0.06,0.06,0.15,0.15,2019
1017,Matej Vydra,Burnley,19,794,2,2,1,4.0,4.0,0.75,5.32,0.67,0.45,0.45,0.08,0.54,0.54,0.6,0.08,2019
1024,Tyrone Mings,Aston Villa,33,2902,2,2,2,0.92,0.92,0.57,5.11,5.07,0.03,0.03,0.02,0.05,0.05,0.16,0.16,2019
1304,Moise Kean,Everton,29,783,2,2,2,4.14,4.14,2.34,6.87,1.09,0.48,0.48,0.27,0.74,0.74,0.79,0.12,2019
1653,Michael Keane,Everton,31,2550,2,2,0,2.02,2.02,0.67,5.47,4.87,0.07,0.07,0.02,0.09,0.09,0.19,0.17,2019
1660,Andre Gray,Watford,23,725,2,2,0,2.59,2.59,1.87,4.65,0.3,0.32,0.32,0.23,0.55,0.55,0.58,0.04,2019
1665,James Tarkowski,Burnley,38,3420,2,2,2,2.62,2.62,3.59,3.14,2.99,0.07,0.07,0.09,0.16,0.16,0.08,0.08,2019
1676,David Luiz,Arsenal,33,2818,2,2,1,1.56,1.56,0.8,9.72,8.91,0.05,0.05,0.03,0.08,0.08,0.31,0.28,2019
1688,Andy Robertson,Liverpool,36,3114,2,2,12,1.81,1.81,7.9,20.4,15.31,0.05,0.05,0.23,0.28,0.28,0.59,0.44,2019
1746,Jeff Hendrick,Burnley,24,1944,2,2,2,2.1,2.1,1.38,4.95,2.43,0.1,0.1,0.06,0.16,0.16,0.23,0.11,2019
1822,Antonio Rudiger,Chelsea,20,1710,2,2,0,0.93,0.93,1.18,6.22,6.19,0.05,0.05,0.06,0.11,0.11,0.33,0.33,2019
2280,Jonny Otto,Wolverhampton Wanderers,35,2907,2,2,2,1.61,1.61,1.57,10.03,7.45,0.05,0.05,0.05,0.1,0.1,0.31,0.23,2019
2335,Pablo Fornals,West Ham,36,2190,2,2,5,2.64,2.64,2.3,7.56,4.67,0.11,0.11,0.09,0.2,0.2,0.31,0.19,2019
3420,Fabinho,Liverpool,28,2063,2,2,3,0.31,0.31,1.68,11.5,10.29,0.01,0.01,0.07,0.09,0.09,0.5,0.45,2019
3491,Romain Saiss,Wolverhampton Wanderers,33,2702,2,2,1,3.67,3.67,1.23,10.52,9.56,0.12,0.12,0.04,0.16,0.16,0.35,0.32,2019
4918,Patrick Cutrone,Wolverhampton Wanderers,12,291,2,2,0,2.29,2.29,0.48,2.31,0.0,0.71,0.71,0.15,0.86,0.86,0.71,0.0,2019
5073,Florian Lejeune,Newcastle United,6,442,2,2,0,0.38,0.38,0.05,0.27,0.21,0.08,0.08,0.01,0.09,0.09,0.05,0.04,2019
5247,Naby Keita,Liverpool,18,812,2,2,3,1.72,1.72,3.22,9.59,5.73,0.19,0.19,0.36,0.55,0.55,1.06,0.64,2019
5545,Wilfred Ndidi,Leicester,32,2679,2,2,1,1.73,1.73,0.59,10.08,9.05,0.06,0.06,0.02,0.08,0.08,0.34,0.3,2019
5962,Tanguy Ndombele,Tottenham,21,1002,2,2,2,0.35,0.35,0.8,5.34,4.96,0.03,0.03,0.07,0.1,0.1,0.48,0.45,2019
6033,Aaron Mooy,Brighton,31,2095,2,2,2,2.52,2.52,3.75,8.61,4.26,0.11,0.11,0.16,0.27,0.27,0.37,0.18,2019
6143,Jetro Willems,Newcastle United,19,1501,2,2,2,0.49,0.49,1.08,3.27,1.97,0.03,0.03,0.06,0.09,0.09,0.2,0.12,2019
6477,Cenk Tosun,Crystal Palace,10,467,2,2,0,1.91,1.91,0.62,2.32,0.26,0.37,0.37,0.12,0.49,0.49,0.45,0.05,2019
6482,Eddie Nketiah,Arsenal,13,629,2,2,0,3.48,3.48,0.63,4.13,0.58,0.5,0.5,0.09,0.59,0.59,0.59,0.08,2019
6521,Yerry Mina,Everton,29,2276,2,2,1,3.08,3.08,1.72,4.24,3.93,0.12,0.12,0.07,0.19,0.19,0.17,0.16,2019
6756,Dwight McNeil,Burnley,38,3360,2,2,6,1.94,1.94,7.56,10.7,3.79,0.05,0.05,0.2,0.25,0.25,0.29,0.1,2019
6842,Alireza Jahanbakhsh,Brighton,10,301,2,2,0,0.59,0.59,0.99,1.59,0.73,0.18,0.18,0.3,0.47,0.47,0.48,0.22,2019
6853,Ruben Neves,Wolverhampton Wanderers,38,3081,2,2,2,1.64,1.64,2.61,13.93,11.2,0.05,0.05,0.08,0.12,0.12,0.41,0.33,2019
7701,Moussa Djenepo,Southampton,18,920,2,2,2,2.24,2.24,2.05,5.6,2.57,0.22,0.22,0.2,0.42,0.42,0.55,0.25,2019
7703,John Egan,Sheffield United,36,3193,2,2,0,2.69,2.69,0.45,3.89,3.76,0.08,0.08,0.01,0.09,0.09,0.11,0.11,2019
7706,George Baldock,Sheffield United,38,3420,2,2,3,0.76,0.76,1.63,8.72,7.15,0.02,0.02,0.04,0.06,0.06,0.23,0.19,2019
7707,Enda Stevens,Sheffield United,38,3350,2,2,4,1.52,1.52,5.41,13.61,10.1,0.04,0.04,0.15,0.19,0.19,0.37,0.27,2019
7711,David McGoldrick,Sheffield United,28,1841,2,2,2,8.72,8.72,2.1,12.24,3.09,0.43,0.43,0.1,0.53,0.53,0.6,0.15,2019
8016,Matty Longstaff,Newcastle United,9,564,2,2,0,0.7,0.7,0.19,1.11,0.25,0.11,0.11,0.03,0.14,0.14,0.18,0.04,2019
12,Mario Vrancic,Norwich,20,613,1,1,0,1.1,1.1,1.03,1.72,1.23,0.16,0.16,0.15,0.31,0.31,0.25,0.18,2019
111,Jannik Vestergaard,Southampton,19,1500,1,1,0,0.68,0.68,0.76,3.91,3.75,0.04,0.04,0.05,0.09,0.09,0.23,0.23,2019
191,Chicharito,West Ham,2,107,1,1,0,0.88,0.88,0.0,0.9,0.07,0.74,0.74,0.0,0.74,0.74,0.75,0.06,2019
204,Granit Xhaka,Arsenal,31,2598,1,1,2,0.57,0.57,0.97,12.97,12.26,0.02,0.02,0.03,0.05,0.05,0.45,0.42,2019
209,Josip Drmic,Norwich,21,609,1,1,0,2.93,2.93,0.95,2.38,0.24,0.43,0.43,0.14,0.57,0.57,0.35,0.04,2019
332,Joel Matip,Liverpool,9,706,1,1,0,0.3,0.3,0.02,1.56,1.54,0.04,0.04,0.0,0.04,0.04,0.2,0.2,2019
458,Steve Cook,Bournemouth,29,2431,1,1,0,0.62,0.62,0.7,3.92,3.8,0.02,0.02,0.03,0.05,0.05,0.15,0.14,2019
486,Adam Lallana,Liverpool,15,362,1,1,1,0.81,0.81,0.65,3.72,2.31,0.2,0.2,0.16,0.36,0.36,0.92,0.58,2019
492,Hector Bellerin,Arsenal,15,1164,1,1,0,0.43,0.43,0.45,4.19,3.45,0.03,0.03,0.03,0.07,0.07,0.32,0.27,2019
499,Mesut Ozil,Arsenal,18,1472,1,1,2,1.71,1.71,2.29,8.4,6.21,0.1,0.1,0.14,0.24,0.24,0.51,0.38,2019
500,Alex Iwobi,Everton,25,1637,1,1,0,2.48,2.48,2.22,7.12,3.3,0.14,0.14,0.12,0.26,0.26,0.39,0.18,2019
508,Calum Chambers,Arsenal,14,1102,1,1,1,0.63,0.63,2.24,4.41,3.21,0.05,0.05,0.18,0.23,0.23,0.36,0.26,2019
519,Connor Wickham,Crystal Palace,6,78,1,1,1,1.12,1.12,0.42,1.45,0.02,1.29,1.29,0.49,1.78,1.78,1.67,0.02,2019
530,James Tomkins,Crystal Palace,18,1589,1,1,1,1.05,1.05,0.12,2.65,2.53,0.06,0.06,0.01,0.07,0.07,0.15,0.14,2019
532,Cheikhou Kouyate,Crystal Palace,35,2560,1,1,1,2.12,2.12,0.77,3.46,1.34,0.07,0.07,0.03,0.1,0.1,0.12,0.05,2019
558,Jesse Lingard,Manchester United,22,919,1,1,0,2.33,2.33,1.11,7.16,3.93,0.23,0.23,0.11,0.34,0.34,0.7,0.38,2019
592,Ross Barkley,Chelsea,21,1100,1,1,4,2.84,2.84,2.86,10.34,6.37,0.23,0.23,0.23,0.47,0.47,0.85,0.52,2019
596,Tom Cleverley,Watford,18,952,1,1,0,1.78,1.78,0.72,4.65,2.59,0.17,0.17,0.07,0.24,0.24,0.44,0.24,2019
638,Kyle Walker,Manchester City,29,2407,1,1,4,1.31,1.31,1.93,17.88,16.14,0.05,0.05,0.07,0.12,0.12,0.67,0.6,2019
640,Jan Vertonghen,Tottenham,23,1651,1,1,1,0.64,0.64,1.02,4.37,3.72,0.03,0.03,0.06,0.09,0.09,0.24,0.2,2019
687,Pedro,Chelsea,11,661,1,1,1,2.47,2.47,1.07,4.75,1.56,0.34,0.34,0.15,0.48,0.48,0.65,0.21,2019
703,Fikayo Tomori,Chelsea,15,1299,1,1,0,0.56,0.56,0.12,5.06,5.0,0.04,0.04,0.01,0.05,0.05,0.35,0.35,2019
727,DeAndre Yedlin,Newcastle United,16,935,1,1,0,0.75,0.75,0.27,2.29,1.34,0.07,0.07,0.03,0.1,0.1,0.22,0.13,2019
766,Jamaal Lascelles,Newcastle United,24,2084,1,1,0,0.44,0.44,0.14,3.0,2.85,0.02,0.02,0.01,0.03,0.03,0.13,0.12,2019
775,Andros Townsend,Crystal Palace,24,1272,1,1,1,0.4,0.4,1.71,2.36,1.2,0.03,0.03,0.12,0.15,0.15,0.17,0.08,2019
789,Robert Brady,Burnley,17,436,1,1,2,1.0,1.0,0.32,1.5,0.89,0.21,0.21,0.07,0.27,0.27,0.31,0.18,2019
791,Alexander Tettey,Norwich,30,2372,1,1,1,0.68,0.68,0.49,5.79,5.04,0.03,0.03,0.02,0.04,0.04,0.22,0.19,2019
807,Jonny Evans,Leicester,38,3390,1,1,1,2.48,2.48,0.38,10.94,10.73,0.07,0.07,0.01,0.08,0.08,0.29,0.28,2019
835,Ryan Bertrand,Southampton,32,2742,1,1,1,2.06,2.06,3.52,8.07,5.93,0.07,0.07,0.12,0.18,0.18,0.27,0.19,2019
847,Cedric Soares,Arsenal,21,1567,1,1,1,0.66,0.66,0.83,3.04,2.0,0.04,0.04,0.05,0.09,0.09,0.17,0.11,2019
882,Glenn Murray,Brighton,23,761,1,1,1,2.61,2.61,0.87,3.27,0.6,0.31,0.31,0.1,0.41,0.41,0.39,0.07,2019
884,Matt Targett,Aston Villa,28,2305,1,1,2,0.39,0.39,3.3,7.99,6.49,0.02,0.02,0.13,0.14,0.14,0.31,0.25,2019
888,Xherdan Shaqiri,Liverpool,7,175,1,1,0,0.54,0.54,0.18,0.72,0.04,0.28,0.28,0.09,0.37,0.37,0.37,0.02,2019
922,Andreas Pereira,Manchester United,25,1501,1,1,3,2.29,2.29,3.71,8.95,4.53,0.14,0.14,0.22,0.36,0.36,0.54,0.27,2019
1042,Tom Davies,Everton,30,2025,1,1,0,1.64,1.64,0.53,6.3,5.53,0.07,0.07,0.02,0.1,0.1,0.28,0.25,2019
1208,Felipe Anderson,West Ham,25,1531,1,1,4,2.63,2.63,2.65,8.1,3.81,0.15,0.15,0.16,0.31,0.31,0.48,0.22,2019
1227,Lucas Torreira,Arsenal,29,1496,1,1,1,1.46,1.46,0.83,6.48,4.91,0.09,0.09,0.05,0.14,0.14,0.39,0.3,2019
1234,Dennis Praet,Leicester,27,1124,1,1,2,1.21,1.21,1.49,6.81,5.09,0.1,0.1,0.12,0.22,0.22,0.55,0.41,2019
1441,Adam Masina,Watford,26,1818,1,1,0,0.85,0.85,0.42,2.98,2.15,0.04,0.04,0.02,0.06,0.06,0.15,0.11,2019
1654,Ben Mee,Burnley,32,2880,1,1,1,1.3,1.3,1.78,1.88,1.74,0.04,0.04,0.06,0.1,0.1,0.06,0.05,2019
1663,Johann Gudmundsson,Burnley,12,629,1,1,1,0.72,0.72,0.92,1.57,1.01,0.1,0.1,0.13,0.23,0.23,0.22,0.14,2019
1678,Michy Batshuayi,Chelsea,16,194,1,1,1,3.04,3.04,0.2,3.13,0.22,1.41,1.41,0.09,1.5,1.5,1.45,0.1,2019
1683,Ryan Fraser,Bournemouth,28,2054,1,1,4,3.46,3.46,3.6,9.42,4.5,0.15,0.15,0.16,0.31,0.31,0.41,0.2,2019
1685,Ahmed Elmohamady,Aston Villa,18,1007,1,1,1,0.2,0.2,2.22,3.63,2.73,0.02,0.02,0.2,0.22,0.22,0.32,0.24,2019
1687,Harry Maguire,Manchester United,38,3420,1,1,0,2.77,2.77,0.45,12.03,11.71,0.07,0.07,0.01,0.08,0.08,0.32,0.31,2019
1735,Jack Stephens,Southampton,28,2456,1,1,3,0.93,0.93,1.17,5.81,4.65,0.03,0.03,0.04,0.08,0.08,0.21,0.17,2019
1740,Paul Pogba,Manchester United,16,1206,1,1,3,2.15,1.39,3.06,8.77,7.23,0.16,0.1,0.23,0.39,0.33,0.65,0.54,2019
1776,Jarrod Bowen,West Ham,13,935,1,1,4,2.32,2.32,2.61,5.65,2.03,0.22,0.22,0.25,0.47,0.47,0.54,0.2,2019
2182,Jefferson Lerma,Bournemouth,33,2724,1,1,2,0.82,0.82,1.53,8.76,8.17,0.03,0.03,0.05,0.08,0.08,0.29,0.27,2019
2203,Emiliano Buendia,Norwich,36,2462,1,1,7,2.17,2.17,7.19,12.55,7.51,0.08,0.08,0.26,0.34,0.34,0.46,0.27,2019
2254,Mateo Kovacic,Chelsea,31,2086,1,1,3,0.97,0.97,1.85,10.11,9.04,0.04,0.04,0.08,0.12,0.12,0.44,0.39,2019
2498,Aymeric Laporte,Manchester City,15,1112,1,1,0,0.72,0.72,0.18,7.43,7.25,0.06,0.06,0.01,0.07,0.07,0.6,0.59,2019
3422,Joao Moutinho,Wolverhampton Wanderers,38,3100,1,1,6,0.69,0.69,6.78,11.93,10.86,0.02,0.02,0.2,0.22,0.22,0.35,0.32,2019
3600,Serge Aurier,Tottenham,33,2716,1,1,5,0.48,0.48,3.6,10.13,6.8,0.02,0.02,0.12,0.14,0.14,0.34,0.23,2019
4068,Florin Andone,Brighton,3,69,1,1,0,0.36,0.36,0.06,0.36,0.0,0.48,0.48,0.08,0.55,0.55,0.48,0.0,2019
4476,Callum Robinson,Sheffield United,16,674,1,1,1,1.56,1.56,0.65,2.84,0.7,0.21,0.21,0.09,0.3,0.3,0.38,0.09,2019
5264,Caglar Soyuncu,Leicester,34,3042,1,1,1,1.43,1.43,0.31,6.56,6.46,0.04,0.04,0.01,0.05,0.05,0.19,0.19,2019
5553,Declan Rice,West Ham,38,3420,1,1,3,1.27,1.27,1.31,8.69,7.64,0.03,0.03,0.03,0.07,0.07,0.23,0.2,2019
5609,Yves Bissouma,Brighton,22,1270,1,1,0,0.41,0.41,0.14,3.37,2.93,0.03,0.03,0.01,0.04,0.04,0.24,0.21,2019
6034,Philip Billing,Bournemouth,34,2542,1,1,1,2.27,2.27,1.43,7.0,5.09,0.08,0.08,0.05,0.13,0.13,0.25,0.18,2019
6042,Jan Bednarek,Southampton,34,3059,1,1,1,1.06,1.06,1.09,4.89,4.87,0.03,0.03,0.03,0.06,0.06,0.14,0.14,2019
6047,Shane Duffy,Brighton,19,1226,1,1,0,1.26,1.26,0.13,2.05,1.91,0.09,0.09,0.01,0.1,0.1,0.15,0.14,2019
6050,Davy Propper,Brighton,35,2826,1,1,2,1.87,1.87,2.98,11.89,8.67,0.06,0.06,0.09,0.15,0.15,0.38,0.28,2019
6062,Isaac Hayden,Newcastle United,29,2224,1,1,2,1.39,1.39,2.53,7.83,4.89,0.06,0.06,0.1,0.16,0.16,0.32,0.2,2019
6080,Victor Lindelof,Manchester United,35,3100,1,1,0,0.18,0.18,0.37,8.88,8.87,0.01,0.01,0.01,0.02,0.02,0.26,0.26,2019
6104,Will Hughes,Watford,30,2300,1,1,1,2.39,2.39,2.18,6.43,3.4,0.09,0.09,0.09,0.18,0.18,0.25,0.13,2019
6352,Valentino Lazaro,Newcastle United,13,455,1,1,0,0.49,0.49,0.18,1.67,1.19,0.1,0.1,0.04,0.13,0.13,0.33,0.24,2019
6418,Hamza Choudhury,Leicester,20,879,1,1,1,0.34,0.34,0.11,2.75,2.53,0.03,0.03,0.01,0.05,0.05,0.28,0.26,2019
6456,Callum Hudson-Odoi,Chelsea,22,816,1,1,5,2.02,2.02,2.71,7.25,3.85,0.22,0.22,0.3,0.52,0.52,0.8,0.42,2019
6492,Reiss Nelson,Arsenal,17,621,1,1,0,1.27,1.27,0.36,1.93,0.76,0.18,0.18,0.05,0.24,0.24,0.28,0.11,2019
6630,Joe Willock,Arsenal,29,819,1,1,1,2.32,2.32,1.05,5.56,3.18,0.26,0.26,0.12,0.37,0.37,0.61,0.35,2019
6665,Curtis Jones,Liverpool,6,108,1,1,0,0.81,0.81,0.0,1.37,0.93,0.68,0.68,0.0,0.68,0.68,1.14,0.78,2019
6820,David Brooks,Bournemouth,9,533,1,1,0,0.43,0.43,0.53,0.86,0.13,0.07,0.07,0.09,0.16,0.16,0.15,0.02,2019
6859,Kortney Hause,Aston Villa,18,1541,1,1,0,2.82,2.82,0.49,1.74,1.74,0.16,0.16,0.03,0.19,0.19,0.1,0.1,2019
6892,Fabian Balbuena,West Ham,17,1174,1,1,0,1.34,1.34,0.46,1.55,1.55,0.1,0.1,0.04,0.14,0.14,0.12,0.12,2019
