No,Name,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,year
489,James Milner,Manchester City,32,1732,5,5,7,5.72,5.72,4.97,15.7,8.75,0.3,0.3,0.26,0.56,0.56,0.82,0.45,2014
503,Theo Walcott,Arsenal,14,427,5,5,0,5.35,5.35,0.4,5.93,0.7,1.13,1.13,0.08,1.21,1.21,1.25,0.15,2014
515,Mile Jedinak,Crystal Palace,24,2092,5,2,3,3.9,1.62,0.99,3.54,2.99,0.17,0.07,0.04,0.21,0.11,0.15,0.13,2014
519,Connor Wickham,Sunderland,36,2782,5,5,1,7.66,7.66,1.77,12.3,4.78,0.25,0.25,0.06,0.31,0.31,0.4,0.15,2014
537,Andy Carroll,West Ham,14,1032,5,5,1,3.69,3.69,0.77,3.29,0.47,0.32,0.32,0.07,0.39,0.39,0.29,0.04,2014
731,Dame N'Doye,Hull,15,1195,5,5,1,5.47,5.47,1.08,6.65,1.15,0.41,0.41,0.08,0.49,0.49,0.5,0.09,2014
743,Dwight Gayle,Crystal Palace,25,1069,5,4,1,5.16,4.4,0.77,3.37,0.81,0.43,0.37,0.06,0.5,0.44,0.28,0.07,2014
755,Jamie Vardy,Leicester,34,2261,5,5,8,7.85,7.85,5.18,14.47,2.14,0.31,0.31,0.21,0.52,0.52,0.58,0.09,2014
839,Shane Long,Southampton,32,1522,5,5,5,4.04,4.04,2.74,9.55,3.29,0.24,0.24,0.16,0.4,0.4,0.56,0.19,2014
917,John Terry,Chelsea,38,3420,5,5,0,5.22,5.22,0.4,8.55,8.17,0.14,0.14,0.01,0.15,0.15,0.22,0.21,2014
930,Steven Fletcher,Sunderland,30,1782,5,5,2,6.64,6.64,2.05,9.39,2.31,0.34,0.34,0.1,0.44,0.44,0.47,0.12,2014
1524,Stevan Jovetic,Manchester City,17,791,5,5,3,3.33,3.33,1.81,6.67,3.65,0.38,0.38,0.21,0.59,0.59,0.76,0.41,2014
1656,George Boyd,Burnley,36,3035,5,5,2,3.48,3.48,3.56,9.53,3.81,0.1,0.1,0.11,0.21,0.21,0.28,0.11,2014
1753,David Nugent,Leicester,29,1685,5,4,2,6.23,4.71,1.89,7.81,2.34,0.33,0.25,0.1,0.43,0.35,0.42,0.12,2014
4422,Ashley Barnes,Burnley,35,2435,5,5,2,5.69,5.69,1.82,9.15,3.27,0.21,0.21,0.07,0.28,0.28,0.34,0.12,2014
4440,Esteban Cambiasso,Leicester,31,2432,5,5,1,2.48,2.48,1.94,7.09,4.2,0.09,0.09,0.07,0.16,0.16,0.26,0.16,2014
483,Daniel Sturridge,Liverpool,12,747,4,4,1,4.52,4.52,1.52,7.01,1.79,0.54,0.54,0.18,0.73,0.73,0.84,0.22,2014
499,Mesut Ozil,Arsenal,22,1861,4,4,5,3.86,3.86,6.66,16.42,9.92,0.19,0.19,0.32,0.51,0.51,0.79,0.48,2014
501,Danny Welbeck,Arsenal,27,1714,4,4,3,7.27,7.27,2.89,12.94,4.49,0.38,0.38,0.15,0.53,0.53,0.68,0.24,2014
518,Yannick Bolasie,Crystal Palace,34,2788,4,4,6,4.84,4.84,5.13,11.89,3.09,0.16,0.16,0.17,0.32,0.32,0.38,0.1,2014
